slug,name,id,due_at,lock_at,unlock_at,html_url,points_possible,assignment_group_id,quiz_id,quiz_title,quiz_published,quiz_due_at,quiz_lock_at,quiz_unlock_at,quiz_show_correct_answers,quiz_scoring_policy,quiz_allowed_attempts,quiz_show_correct_answers_at,quiz_time_limit,quiz_question_count,quiz_quiz_type,quiz_show_correct_answers,quiz_scoring_policy,quiz_allowed_attempts,quiz_show_correct_answers_at
class-introduction-video-survey,Class Introduction Video Survey,2989456,2026-01-21 23:59:59-06:00,,,https://canvas.wisc.edu/courses/498231/assignments/2989456,5.0,587083,701144,Class Introduction Video Survey,True,2026-01-21 23:59:59-06:00,,,True,keep_highest,1,,5,2,graded_survey,True,keep_highest,1,
module-1-introduction,Module 1 Introduction (Video and Classroom Link),2957851,2026-01-21 23:59:59-06:00,,2026-01-21 00:00:00-06:00,https://canvas.wisc.edu/courses/498231/assignments/2957851,5.0,591544,694094,Module 1 Introduction (Video and Classroom Link),False,2026-01-21 23:59:59-06:00,,2026-01-21 00:00:00-06:00,True,keep_highest,-1,,,1,graded_survey,True,keep_highest,-1,
module-2-introduction,Module 2 Introduction  (Video and Classroom Link),2957852,2026-02-04 23:59:59-06:00,,2026-02-04 00:00:00-06:00,https://canvas.wisc.edu/courses/498231/assignments/2957852,5.0,591544,694096,Module 2 Introduction  (Video and Classroom Link),False,2026-02-04 23:59:59-06:00,,2026-02-04 00:00:00-06:00,True,keep_highest,1,,,0,graded_survey,True,keep_highest,1,
module-3-introduction,Module 3 Introduction (Video and Classroom Link),2957856,2026-02-18 23:59:59-06:00,,2026-02-18 00:00:00-06:00,https://canvas.wisc.edu/courses/498231/assignments/2957856,5.0,591544,694097,Module 3 Introduction (Video and Classroom Link),False,2026-02-18 23:59:59-06:00,,2026-02-18 00:00:00-06:00,True,keep_highest,1,,,0,graded_survey,True,keep_highest,1,
module-4-introduction,Module 4 Introduction (Video and Classroom Link),2957872,2026-03-04 23:59:59-06:00,,2026-03-04 00:00:00-06:00,https://canvas.wisc.edu/courses/498231/assignments/2957872,5.0,591544,694098,Module 4 Introduction (Video and Classroom Link),False,2026-03-04 23:59:59-06:00,,2026-03-04 00:00:00-06:00,True,keep_highest,1,,,0,graded_survey,True,keep_highest,1,
module-5-introduction,Module 5 Introduction (Video and Classroom Link),2957873,2026-03-18 23:59:59-05:00,,2026-03-18 00:00:00-05:00,https://canvas.wisc.edu/courses/498231/assignments/2957873,5.0,591544,694099,Module 5 Introduction (Video and Classroom Link),False,2026-03-18 23:59:59-05:00,,2026-03-18 00:00:00-05:00,True,keep_highest,1,,,0,graded_survey,True,keep_highest,1,
module-6-introduction,Module 6 Introduction (Video and Classroom),2957874,2026-04-08 23:59:00-05:00,,2026-04-08 00:00:00-05:00,https://canvas.wisc.edu/courses/498231/assignments/2957874,5.0,591544,694100,Module 6 Introduction (Video and Classroom),False,2026-04-08 23:59:00-05:00,,2026-04-08 00:00:00-05:00,True,keep_highest,1,,,0,graded_survey,True,keep_highest,1,
module-7-introduction,Module 7 Introduction (Video and Classroom),2957875,2026-04-22 23:59:59-05:00,,2026-04-22 00:00:00-05:00,https://canvas.wisc.edu/courses/498231/assignments/2957875,5.0,591544,694101,Module 7 Introduction (Video and Classroom),False,2026-04-22 23:59:59-05:00,,2026-04-22 00:00:00-05:00,True,keep_highest,1,,,0,graded_survey,True,keep_highest,1,
end-of-week-survey-1-1,End of Week Survey 1-1 (Anonymous Class Survey),2957884,2026-01-23 23:59:59-06:00,2026-01-29 23:59:59-06:00,2026-01-23 00:00:00-06:00,https://canvas.wisc.edu/courses/498231/assignments/2957884,5.0,591559,694102,End of Week Survey 1-1 (Anonymous Class Survey),False,2026-01-23 23:59:59-06:00,2026-01-29 23:59:59-06:00,2026-01-23 00:00:00-06:00,False,keep_highest,-1,,,0,graded_survey,False,keep_highest,-1,
end-of-week-survey-2-1,End-of-Week Survey 2-1 (Anonymous Class Survey),2957899,2026-02-06 23:59:59-06:00,2026-02-12 23:59:59-06:00,2026-02-06 00:00:00-06:00,https://canvas.wisc.edu/courses/498231/assignments/2957899,5.0,591559,694103,End-of-Week Survey 2-1 (Anonymous Class Survey),False,2026-02-06 23:59:59-06:00,2026-02-12 23:59:59-06:00,2026-02-06 00:00:00-06:00,False,keep_highest,-1,,,0,graded_survey,False,keep_highest,-1,
