WorkbookNumber,WorkbookName,LearningGoalNumber,LearningGoalText
0,CLO,1,Develop interactive graphical applications in 2D and 3D using different types of APIs
0,CLO,2,Analyze and apply coordinate systems and transformations in 2D and 3D to model objects hierarchically and prepare them for viewing
0,CLO,3,"Explain and apply shape modeling techniques, including parametric curves and meshes, in 2D and 3D"
0,CLO,4,Select and apply appearance modeling techniques including texturing and lighting
0,CLO,5,"Explain the structure and operation of the graphics pipeline and hardware, and use this understanding to implement and optimize efficient graphical applications"
0,CLO,6,Identify the issues in discrete representations and select approaches to mitigate them
0,CLO,7,Discuss how imagery is perceived and the impact of perception on computer generated imagery
1,Pre-Graphics (HTML and JavaScript),1,"Understand and use the class mechanics (GitHub classroom links, Git, local servers, editing pages, ...)"
1,Pre-Graphics (HTML and JavaScript),2,"Understand the organization of workbooks for the class (looking at pages, boxes, editing and adding things, turning things in)"
1,Pre-Graphics (HTML and JavaScript),3,Review basic HTML that you will need for class
1,Pre-Graphics (HTML and JavaScript),4,Practice basic JavaScript and understand how to attach programs to web pages
1,Pre-Graphics (HTML and JavaScript),5,Make interactions and animations with JavaScript web pages
1,Pre-Graphics (HTML and JavaScript),6,Differentiate and use event-driven- and animation-loop-driven- programming
1,Pre-Graphics (HTML and JavaScript),7,Understand how to control timing with browser animation loops
2,Graphics APIs and Drawing Basics,1,To introduce the idea of object-based graphics as opposed to image-based graphics
2,Graphics APIs and Drawing Basics,2,"To show the two different types of graphics APIs, immediate mode and retained mode"
2,Graphics APIs and Drawing Basics,3,To give you experience programming with the Canvas API that web browsers provide
2,Graphics APIs and Drawing Basics,4,"To give you exposure to SVGs, which we will look at more in the future"
2,Graphics APIs and Drawing Basics,5,To see how the event and animation loop models introduced in the previous workbook are used in graphics
2,Graphics APIs and Drawing Basics,6,To introduce the concept of display lists
2,Graphics APIs and Drawing Basics,7,To practice with reading and writing JavaScript programs with actual graphics programs
3,Transformations,1,Understand the importance of coordinate systems in graphics
3,Transformations,2,Understand the concepts of transformation and their use in graphics
3,Transformations,3,Understand how to think about transformations in terms of coordinate systems
3,Transformations,4,"Understand how basic transformations (rotate, translate, scale) are used"
3,Transformations,5,Understand how transformations are composed to achieve different effects
3,Transformations,6,Be able to use the HTML Canvas transformation functionality
3,Transformations,7,Understand and use the basic ideas of hierarchical modeling and articulation
3,Transformations,8,Understand how hierearchy and transformation is represented in a scene-graph API such as SVG
3,Transformations,9,Be able to use SVG (as a file format) including its hierarchy and instancing features
4,Transformation Math,1,To understand how coordinate systems and transformations are represented mathematically
4,Transformation Math,2,To understand affine transformations and the use of homogeneous coordinates to represent them
4,Transformation Math,3,To be able to build transformation matrices based on the desired outcomes
4,Transformation Math,4,To be able to read a transformation matrix to understand what it does
4,Transformation Math,5,To understand how Canvas and SVG use matrices internally
4,Transformation Math,6,To use transformations in matrix form in graphics programs
4,Transformation Math,7,To practice graphics programming using vector math
4,Transformation Math,8,To get some exposure to JavaScript Object-Oriented Programming
4,Transformation Math,9,To try out the course framework code
5,Curves in 2D,1,To understand the concepts of parametric curves and parameterizations
