week,title,link_name,url,description
1,3D Train,train,https://youngwu559.github.io/train.html,3D Train. Interactive demo showing a simple web page.
1,Rasterization,raster,https://pages.cs.wisc.edu/~yw/CS559/Demos/raster.html,"Rasterization. Interactive demo showing a 2D canvas with a code textbox, buttons, checkboxes, a color picker. Rasterization demo: When ""Draw"" is checked, use mouse or touch to draw lines; when ""Draw"" is not checked, use mouse or touch to select a region to show pixel colors. Use the textarea to write a function(canvas, context) and use the button to evaluate the function."
1,Blank canvas,canvas,https://pages.cs.wisc.edu/~yw/CS559/Demos/canvas.html,"Blank canvas. Interactive demo showing a 2D canvas with a code textbox, buttons. Canvas demo: Just a simple HTML Canvas. Use the textarea to write a function(canvas, context) and use the button to evaluate the function."
1,Draw ellipse,ellipse,https://pages.cs.wisc.edu/~yw/CS559/Demos/ellipse.html,"Draw ellipse. Interactive demo showing a 2D canvas with a code textbox, buttons. Ellipse demo: Use the textarea to write a function(canvas, context) and use the button to evaluate the function."
1,Polygon fill rule pentagram,pentagram,https://pages.cs.wisc.edu/~yw/CS559/Demos/pentagram.html,"Polygon fill rule pentagram. Interactive demo showing a 2D canvas with buttons. Pentagram demo: Use the textarea to provide a list of vertices (each line has two numbers, comma separated, negative number or empty line means moveTo). Mouse click will draw a ray from the point with the specified angle (from x-axis)."
1,Polygon fill rule two triangles,triangles,https://pages.cs.wisc.edu/~yw/CS559/Demos/triangles.html,"Polygon fill rule two triangles. Interactive demo showing a 2D canvas with buttons. Pentagram demo: Use the textarea to provide a list of vertices (each line has two numbers, comma separated, negative number or empty line means moveTo). Mouse click will draw a ray from the point with the specified angle (from x-axis)."
2,Animation bouncing ball,bounce,https://pages.cs.wisc.edu/~yw/CS559/Demos/bounce.html,"Animation bouncing ball. Interactive demo showing a 2D canvas with a code textbox, buttons. Bounce demo: Use the textarea to write a function(time, canvas, context) to animate a rectangle as a function of time."
2,Animation as a function of time,animate_time,https://pages.cs.wisc.edu/~yw/CS559/Demos/animate_time.html,"Animation as a function of time. Interactive demo showing a 2D canvas with a code textbox, buttons. Animation demo - use time: Use the textarea to write a function(time, canvas, context) to move a rectangle as a function of time."
2,Animation as a function of state,animate_position,https://pages.cs.wisc.edu/~yw/CS559/Demos/animate_position.html,"Animation as a function of state. Interactive demo showing a 2D canvas with a code textbox, buttons. Animation demo - use position: Use the textarea to write a function(time, position, canvas, context) to move a rectangle as a function of its position (vector of two numbers)."
2,Animation as a function of mouse event,animate_event,https://pages.cs.wisc.edu/~yw/CS559/Demos/animate_event.html,"Animation as a function of mouse event. Interactive demo showing a 2D canvas with a code textbox, buttons. Animation Demo - use event: Use the textarea to write a function(event, position, canvas, context) to move a rectangle as a function of the mouse position."
2,Animation with rotation,animate_transform,https://pages.cs.wisc.edu/~yw/CS559/Demos/animate_transform.html,"Animation with rotation. Interactive demo showing a 2D canvas with a code textbox, buttons. Animation demo - use transform: Use the textarea to write a function(time, canvas, context) to move a rectangle as a function of time (can use translate, rotate, scale). The animation loop resets the transformation after each frame."
2,Order of transformation,transform_list,https://pages.cs.wisc.edu/~yw/CS559/Demos/transform_list.html,"Order of transformation. Interactive demo showing a 2D canvas with a code textbox, buttons. Transform demo - combine Translate, Rotate, Scale: Use the textarea to write a function(x, y, r, sx, sy; canvas, context) to move the rectangle as a function of the slider values: translate(x, y), rotate(r), scale(sx, sy)."
2,Scaling around a center,transform_order,https://pages.cs.wisc.edu/~yw/CS559/Demos/transform_order.html,"Scaling around a center. Interactive demo showing a 2D canvas with a code textbox. Transform demo: Assume draw() draws the cat, write the code in the text area to translate, rotate, and scale it. Use the ""flip"" button to reverse the order of transformations in the first text area."
2,Animation as a function of slider event,animate_slider,https://pages.cs.wisc.edu/~yw/CS559/Demos/animate_slider.html,"Animation as a function of slider event. Interactive demo showing a 2D canvas with a code textbox, buttons. Animation demo - use slider: Use the textarea to write a function(value, canvas, context) to move a rectangle as a function of the slider value (can use translate, rotate, scale). Checkbox controls slider and slider value controls animation (from 0 to 1 and 1 back to 0 and repeat)."
2,Robotic arm hierarchy,arm,https://pages.cs.wisc.edu/~yw/CS559/Demos/arm.html,"Robotic arm hierarchy. Interactive demo showing a 2D canvas with a code textbox, buttons. Robotic arm demo: Use the textarea to write a function(v1, v2, v3; canvas, context) to move a arms as a function of the slider values (can use translate, rotate, scale)."
2,Two robotic arms hierarchy,arm_six,https://pages.cs.wisc.edu/~yw/CS559/Demos/arm_six.html,"Two robotic arms hierarchy. Interactive demo showing a 2D canvas with a code textbox, buttons. Robotic arm demo: Use the textarea to write a function(v1, v2, v3, v4, v5, v6; canvas, context) to move a arms as a function of the slider values (can use translate, rotate, scale)."
2,Two trees hierarchy,tree_six,https://pages.cs.wisc.edu/~yw/CS559/Demos/tree_six.html,"Two trees hierarchy. Interactive demo showing a 2D canvas with a code textbox, buttons. Robotic arm demo - tree version: Use the textarea to write a function(v1, v2, v3, v4, v5, v6; canvas, context) to move a arms as a function of the slider values (can use translate, rotate, scale)."
